Tipo Auxiliar,Horas,Valor Hora,GENERO,FACULTAD,SEDE,SEMESTRAL,Total
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,8,1324800
Auxiliares Investigación,96,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,7,662400
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,1324800
Auxiliares Investigación,100,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,5,690000
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,1,1324800
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,3,1324800
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,3,1324800
Auxiliares Sistemas,84,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,9,579600
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,579600
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,1324800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,1324800
Auxiliares Administrativos,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,7,724500
Auxiliares Administrativos,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,7,724500
Auxiliares Administrativos,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,9,724500
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,172500
Auxiliares Sistemas,192,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,1324800
Auxiliares Sistemas,200,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,1380000
Auxiliares Docencia,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,897000
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,538200
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,172500
Auxiliares Docencia,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,897000
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1076400
Auxiliares Investigación,145,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,1000500
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Docencia,49,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,338100
Auxiliares Docencia,50,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,345000
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1076400
Auxiliares Extensión,300,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,1,2070000
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,1076400
Auxiliares Docencia,55,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,379500
Auxiliares Docencia,100,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,690000
Auxiliares Docencia,100,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,690000
Auxiliares Investigación,235,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1621500
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,897000
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,8,1324800
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Docencia,143,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,986700
Auxiliares Sistemas,84,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,579600
Auxiliares Docencia,55,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,379500
Auxiliares Docencia,66,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,455400
Auxiliares Sistemas,192,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,6,1324800
Auxiliares Docencia,50,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,345000
Auxiliares Extensión,129,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,890100
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1076400
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1076400
Auxiliares Docencia,62,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,427800
Auxiliares Docencia,63,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,434700
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,538200
Auxiliares Docencia,130,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,897000
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1324800
Auxiliares Docencia,144,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,993600
Auxiliares Docencia,66,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,455400
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,538200
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Investigación,171,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1179900
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,538200
Auxiliares Docencia,66,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,455400
Auxiliares Docencia,182,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1255800
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,1076400
Auxiliares Docencia,44,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,303600
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Sistemas,84,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,579600
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,172500
Auxiliares Docencia,30,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,207000
Auxiliares Docencia,29,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,200100
Auxiliares Investigación,36,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,248400
Auxiliares Investigación,142,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,979800
Auxiliares Investigación,217,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,1497300
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1076400
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,66,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,5,455400
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Administrativos,100,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,690000
Auxiliares Docencia,25,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Docencia,130,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,897000
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1076400
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1076400
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1324800
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1076400
Auxiliares Administrativos,199,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1373100
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,538200
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1076400
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,65,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,448500
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1076400
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,3,538200
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,3,538200
Auxiliares Investigación,300,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,2070000
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,8,172500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1324800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1324800
Auxiliares Extensión,64,6510,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,416640
Auxiliares Administrativos,190,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1311000
Auxiliares Docencia,65,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,3,448500
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,3,1076400
Auxiliares Docencia,123,852150,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,104814450
Auxiliares Sistemas,200,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,1380000
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1324800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1324800
Auxiliares Docencia,25,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,172500
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,91,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,627900
Auxiliares Docencia,25,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,172500
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,538200
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,538200
Auxiliares Investigación,142,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,979800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1324800
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,2,1324800
Auxiliares Docencia,65,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,448500
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1076400
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,8,1324800
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,1076400
Auxiliares Docencia,156,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,8,1076400
Auxiliares Extensión,64,6510,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,416640
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,538200
Auxiliares Docencia,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,897000
Auxiliares Extensión,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,897000
Auxiliares Docencia,40,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,276000
Auxiliares Docencia,91,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,627900
Auxiliares Docencia,117,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,807300
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,538200
Auxiliares Sistemas,196,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1352400
Auxiliares Docencia,41,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,1,282900
Auxiliares Docencia,150,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,1,1035000
Auxiliares Docencia,156,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,1,1076400
Auxiliares Administrativos,63,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,434700
Auxiliares Administrativos,100,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,690000
Auxiliares Sistemas,84,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,579600
Auxiliares Sistemas,192,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1324800
Auxiliares Sistemas,196,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,1352400
Auxiliares Docencia,30,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,207000
Auxiliares Docencia,60,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,414000
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,538200
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,538200
Auxiliares Docencia,65,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,448500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,1324800
Auxiliares Docencia,65,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,448500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,1324800
Auxiliares Docencia,66,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,455400
Auxiliares Docencia,130,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,3,897000
Auxiliares Administrativos,190,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,7,1311000
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1324800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,6,1324800
Auxiliares Docencia,25,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,172500
Auxiliares Docencia,78,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,9,538200
Auxiliares Extensión,62,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,4,427800
Auxiliares Docencia,144,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,10,993600
Auxiliares Docencia,52,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,8,358800
Auxiliares Docencia,52,6900,Mujer,Ciencias Basicas y Tecnologias,Armenia,8,358800
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,9,538200
Auxiliares Docencia,78,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,3,538200
Auxiliares Sistemas,84,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,10,579600
Auxiliares Administrativos,190,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,6,1311000
Auxiliares Docencia,39,6900,Hombre,Ciencias Basicas y Tecnologias,Armenia,7,269100
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,2,724500
Auxiliares Docencia,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,6,724500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,3,1324800
Auxiliares Administrativos,66,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,3,455400
Auxiliares Administrativos,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,724500
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,1324800
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,1324800
Auxiliares Docencia,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,724500
Auxiliares Administrativos,190,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,1311000
Auxiliares Docencia,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,4,724500
Auxiliares Administrativos,66,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,3,455400
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,6,579600
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,6,1324800
Auxiliares Administrativos,66,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,4,455400
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,1324800
Auxiliares Administrativos,66,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,3,455400
Auxiliares Administrativos,100,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,8,690000
Auxiliares Administrativos,100,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,8,690000
Auxiliares Docencia,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,7,724500
Auxiliares Sistemas,112,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,772800
Auxiliares Sistemas,200,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,5,1380000
Auxiliares Administrativos,66,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,9,455400
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,7,724500
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,7,1324800
Auxiliares Administrativos,66,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,6,455400
Auxiliares Administrativos,66,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,5,455400
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,6,724500
Auxiliares Investigación,50,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,8,345000
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,8,1324800
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,10,579600
Auxiliares Sistemas,192,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,10,1324800
